track_name,artist_name,year,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,gender,ethnicity
I'm Like A Bird,Nelly Furtado,2001,89,A#,Major,62,61,60,14,0,22,3,Female,Multiracial (Canadian)
"Whenever, Wherever",Shakira,2001,107,C#,Minor,79,87,83,23,0,20,4,Female,Multiracial (Colombian)
The Middle,Jimmy Eat World,2001,162,D,Major,64,90,84,3,0,5,5,Group,White (American)
Drops of Jupiter (Tell Me),Train,2001,79,C,Major,48,49,63,15,0,15,2,Group,White (American)
Ms. Jackson,Outkast,2001,94,E,Minor,84,61,80,14,0,7,26,Group,Black (American)
How You Remind Me,Nickelback,2001,172,A#,Major,44,54,76,0,0,9,3,Group,White (Canadian)
Island In The Sun,Weezer,2001,114,E,Minor,65,66,81,0,0,16,2,Group,White (American)
Family Affair,Mary J. Blige,2001,92,G#,Minor,91,96,55,13,0,8,4,Female,Black (American)
Drive,Incubus,2001,90,E,Minor,64,66,79,5,1,11,3,Group,White (American)
Rollin' (Air Raid Vehicle),Limp Bizkit,2001,96,C#,Major,60,70,93,0,0,20,17,Group,White (American)
Angel,Shaggy,2001,170,F#,Major,74,80,76,11,0,4,17,Male,Black (Jamaican)
One More Time,Daft Punk,2001,122,D,Major,61,47,69,1,0,33,13,Group,White (French)
Ride Wit Me,Nelly,2001,101,G,Major,85,72,70,6,0,24,4,Male,Black (American)
In Too Deep,Sum 41,2001,116,A,Major,56,76,84,0,0,6,5,Group,White (Canadian)
Let Me Blow Ya Mind,Eve,2001,90,G#,Minor,90,89,55,24,0,7,10,Female,Black (American)
Smooth Criminal,Alien Ant Farm,2001,126,A,Minor,65,87,96,0,0,14,5,Group,Multiracial (American)
Fallin',Alicia Keys,2001,95,B,Minor,65,48,60,26,0,23,3,Female,Black (American)
Thank You,Dido,2001,79,C#,Minor,72,76,58,30,0,6,4,Female,White (British)
Your Body Is a Wonderland,John Mayer,2001,94,F,Major,64,68,72,2,4,13,2,Male,White (American)
Butterfly,Crazy Town,2001,103,A,Minor,73,60,81,0,0,10,8,Group,Multiracial (American)
U Remind Me,USHER,2001,93,F#,Major,65,72,62,19,0,25,7,Male,Black (American)
Fat Lip,Sum 41,2001,196,A,Major,40,62,91,0,0,6,14,Group,White (Canadian)
Follow Me,Uncle Kracker,2001,105,F,Major,81,91,58,43,0,14,3,Male,White (American)
Only Time,Enya,2001,82,D#,Major,41,21,24,84,66,11,3,Female,White (Irish)
Youth of the Nation,P.O.D.,2001,97,G#,Major,56,51,86,0,1,39,6,Group,Multiracial (American)
Clint Eastwood,Gorillaz,2001,167,A#,Minor,66,52,69,2,0,6,17,Group,Multiracial (British)
Again,Lenny Kravitz,2001,79,D,Major,55,78,80,1,0,10,2,Male,Black (American)
I'm a Slave 4 U,Britney Spears,2001,110,F,Minor,84,96,84,41,0,10,10,Female,White (American)
Get Ur Freak On,Missy Elliott,2001,177,C,Major,79,74,75,53,10,9,24,Female,Black (American)
It's Been Awhile,Staind,2001,116,F#,Major,50,8,77,0,0,14,3,Group,White (American)
Hit 'Em Up Style (Oops!),Blu Cantrell,2001,89,F,Minor,66,66,77,20,0,40,5,Female,Black (American)
You Rock My World,Michael Jackson,2001,95,E,Minor,85,95,67,3,0,25,18,Male,Black (American)
Out Of Reach,GABRIELLE,2001,182,B,Major,51,49,48,50,0,10,4,Female,Black (British)
Sing,Travis,2001,163,E,Major,33,25,90,0,0,7,4,Group,White (British)
Superman (It's Not Easy),Five For Fighting,2001,102,C,Major,38,12,41,7,0,7,3,Group,White (American)
Differences,Ginuwine,2001,62,D#,Minor,56,42,59,31,0,31,5,Male,Black (American)
Hanging By A Moment,Lifehouse,2001,124,C#,Major,54,43,86,0,0,8,3,Group,White (American)
Love Don't Cost a Thing,Jennifer Lopez,2001,97,E,Minor,78,68,84,0,0,47,7,Female,Multiracial (American)
Last Nite,The Strokes,2001,104,C,Major,62,79,89,2,0,9,2,Group,White (American)
Because I Got High,Afroman,2001,166,G,Major,80,84,34,16,0,7,48,Male,Black (American)
Uptown Girl - Radio Edit,Westlife,2001,129,F#,Minor,64,86,92,0,0,40,3,Group,White (Irish)
Purple Pills,D12,2001,125,C#,Major,78,75,63,1,0,28,16,Group,Multiracial (American)
I'm Real (feat. Ja Rule) - Murder Remix,Jennifer Lopez,2001,83,B,Minor,70,55,58,27,0,7,15,Female,Multiracial (American)
Something,Lasgo,2001,140,G,Minor,64,37,98,2,0,11,4,Group,White (Belgian)
